PUB_ID_C,SKU,ISBN,TITLE,CUSTOMER_NAME,A_STATUS,BOOKTYPEID,CARTON_QTY,WEIGHT,BOOKGROUP,BOOKTYPEDESC,US_INGRAM_GAP_LIST_PRICE
6010036,1501130315,9.7815E+12,Warrior Untamed,Simon & Schuster,production,320,18,0.702,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130323,9.7815E+12,When Hell Came to Texas,Simon & Schuster,production,320,16,0.759,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130331,9.7815E+12,Rare Chance,Simon & Schuster,production,320,24,0.546,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150113034X,9.7815E+12,Riesling Retribution: A Wine Country Mystery,Simon & Schuster,production,320,18,0.702,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130366,9.7815E+12,Hope Vendetta,Simon & Schuster,production,320,14,0.914,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130412,9.7815E+12,Ice Fire: A Thriller,Simon & Schuster,production,320,16,0.823,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133713,9.7815E+12,Badlands Bride,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133721,9.7815E+12,Broken Window: A Lincoln Rhyme Novel,Simon & Schuster,production,320,10,1.219,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150113373X,9.7815E+12,Wanted: Wild Thing,Simon & Schuster,production,320,18,0.728,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133748,9.7815E+12,Fire Water,Simon & Schuster,production,320,22,0.61,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133756,9.7815E+12,Swan Star: Swan Star,Simon & Schuster,production,320,30,0.458,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133764,9.7815E+12,Swan Witch: Swan Witch,Simon & Schuster,production,320,26,0.519,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133780,9.7815E+12,Swan Bride: Swan Bride,Simon & Schuster,production,320,20,0.641,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133810,9.7815E+12,Serpent Beguiled: Two Rivals for the Love of a Renaissance King,Simon & Schuster,production,320,26,0.519,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133845,9.7815E+12,Waltz with the Lady,Simon & Schuster,production,320,20,0.641,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133853,9.7815E+12,Sweet Success,Simon & Schuster,production,320,18,0.702,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501133896,9.7815E+12,Otherwise Engaged,Simon & Schuster,production,320,14,0.854,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150113406X,9.7815E+12,Silent Night: A Christmas Suspense Story,Simon & Schuster,production,320,30,0.458,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501134078,9.7815E+12,No Deadly Drug,Simon & Schuster,production,320,18,0.698,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150113681X,9.7815E+12,Delusions of Grandma,Simon & Schuster,production,320,22,0.58,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501137603,9.7815E+12,Blood Warrior,Simon & Schuster,production,320,16,0.793,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501137611,9.7815E+12,Different Dreams,Simon & Schuster,production,320,22,0.607,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150113762X,9.7815E+12,"High, Hard Land",Simon & Schuster,production,320,22,0.607,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501137646,9.7815E+12,Shadows Before the Sun,Simon & Schuster,production,320,18,0.698,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
